,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
0,[-8.7017499],"[-4.533554493289, -6.090885855457]",-679.064467,penalty,-0.075389
1,[-8.6663059],"[-4.524204561290, -6.056697373661]",-674.710626,penalty,-0.075389
2,[-8.6308620],"[-4.514854629290, -6.022508891866]",-670.356784,penalty,-0.075389
3,[-8.5954180],"[-4.505504697290, -5.988320410070]",-666.002943,penalty,-0.075389
4,[-8.5599741],"[-4.496154765291, -5.954131928275]",-661.649102,penalty,-0.075389
5,[-8.5245301],"[-4.486804833291, -5.919943446480]",-657.295260,penalty,-0.075389
6,[-8.4890862],"[-4.477454901291, -5.885754964684]",-652.941419,penalty,-0.075389
7,[-8.4536422],"[-4.468104969291, -5.851566482889]",-648.587577,penalty,-0.075389
8,[-8.4181983],"[-4.458755037292, -5.817378001094]",-644.233736,penalty,-0.075389
9,[-8.3827543],"[-4.449405105292, -5.783189519298]",-639.879895,penalty,-0.075389
10,[-8.3473104],"[-4.440055173292, -5.749001037503]",-635.526053,penalty,-0.075389
11,[-8.3118664],"[-4.430705241293, -5.714812555708]",-631.172212,penalty,-0.075389
12,[-8.2764225],"[-4.421355309293, -5.680624073912]",-626.818371,penalty,-0.075389
13,[-8.2409785],"[-4.412005377293, -5.646435592117]",-622.464529,penalty,-0.075389
14,[-8.2055346],"[-4.402655445293, -5.612247110322]",-618.110688,penalty,-0.075389
15,[-8.1700907],"[-4.393305513294, -5.578058628526]",-613.756846,penalty,-0.075389
16,[-8.1346467],"[-4.383955581294, -5.543870146731]",-609.403005,penalty,-0.075389
17,[-8.0992028],"[-4.374605649294, -5.509681664936]",-605.049164,penalty,-0.075389
18,[-8.0637588],"[-4.365255717295, -5.475493183140]",-600.695322,penalty,-0.075389
19,[-8.0283149],"[-4.355905785295, -5.441304701345]",-596.341481,penalty,-0.075389
20,[-7.9928709],"[-4.346555853295, -5.407116219550]",-591.987640,penalty,-0.075389
21,[-7.9574270],"[-4.337205921295, -5.372927737754]",-587.633798,penalty,-0.075389
22,[-7.9219830],"[-4.327855989296, -5.338739255959]",-583.279957,penalty,-0.075389
23,[-7.8865391],"[-4.318506057296, -5.304550774164]",-578.926115,penalty,-0.075389
24,[-7.8510951],"[-4.309156125296, -5.270362292368]",-574.572274,penalty,-0.075389
25,[-7.8156512],"[-4.299806193297, -5.236173810573]",-570.218433,penalty,-0.075389
26,[-7.7802072],"[-4.290456261297, -5.201985328778]",-565.864591,penalty,-0.075389
27,[-7.7447633],"[-4.281106329297, -5.167796846982]",-561.510750,penalty,-0.075389
