,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
0,[-8.4489983],"[-8.096811156800, -2.339213085569]",-1280.830592,penalty,-6.557399
1,[-8.4135544],"[-8.073594905690, -2.312431016937]",-1275.830760,penalty,-6.557399
2,[-8.3781105],"[-8.050378654579, -2.285648948304]",-1270.830928,penalty,-6.557399
3,[-8.3426665],"[-8.027162403468, -2.258866879672]",-1265.831096,penalty,-6.557399
4,[-8.3072226],"[-8.003946152357, -2.232084811039]",-1260.831264,penalty,-6.557399
5,[-8.2717786],"[-7.980729901247, -2.205302742407]",-1255.831432,penalty,-6.557399
6,[-8.2363347],"[-7.957513650136, -2.178520673775]",-1250.831600,penalty,-6.557399
7,[-8.2008907],"[-7.934297399025, -2.151738605142]",-1245.831768,penalty,-6.557399
8,[-8.1654468],"[-7.911081147915, -2.124956536510]",-1240.831936,penalty,-6.557399
9,[-8.1300028],"[-7.887864896804, -2.098174467877]",-1235.832104,penalty,-6.557399
10,[-8.0945589],"[-7.864648645693, -2.071392399245]",-1230.832272,penalty,-6.557399
11,[-8.0591149],"[-7.841432394582, -2.044610330612]",-1225.832440,penalty,-6.557399
12,[-8.0236710],"[-7.818216143472, -2.017828261980]",-1220.832608,penalty,-6.557399
13,[-7.9882270],"[-7.794999892361, -1.991046193347]",-1215.832776,penalty,-6.557399
14,[-7.9527831],"[-7.771783641250, -1.964264124715]",-1210.832944,penalty,-6.557399
15,[-7.9173391],"[-7.748567390139, -1.937482056082]",-1205.833112,penalty,-6.557399
16,[-7.8818952],"[-7.725351139029, -1.910699987450]",-1200.833280,penalty,-6.557399
17,[-7.8464512],"[-7.702134887918, -1.883917918817]",-1195.833448,penalty,-6.557399
18,[-7.8110073],"[-7.678918636807, -1.857135850185]",-1190.833616,penalty,-6.557399
19,[-7.7755633],"[-7.655702385697, -1.830353781553]",-1185.833784,penalty,-6.557399
20,[-7.7401194],"[-7.632486134586, -1.803571712920]",-1180.833952,penalty,-6.557399
21,[-7.7046754],"[-7.609269883475, -1.776789644288]",-1175.834120,penalty,-6.557399
22,[-7.6692315],"[-7.586053632364, -1.750007575655]",-1170.834288,penalty,-6.557399
23,[-7.6337875],"[-7.562837381254, -1.723225507023]",-1165.834456,penalty,-6.557399
24,[-7.5983436],"[-7.539621130143, -1.696443438390]",-1160.834624,penalty,-6.557399
25,[-7.5628996],"[-7.516404879032, -1.669661369758]",-1155.834793,penalty,-6.557399
26,[-7.5274557],"[-7.493188627922, -1.642879301125]",-1150.834961,penalty,-6.557399
27,[-7.4920117],"[-7.469972376811, -1.616097232493]",-1145.835129,penalty,-6.557399
28,[-7.4565678],"[-7.446756125700, -1.589315163860]",-1140.835297,penalty,-6.557399
29,[-7.4211238],"[-7.423539874589, -1.562533095228]",-1135.835465,penalty,-6.557399
30,[-7.3856799],"[-7.400323623479, -1.535751026596]",-1130.835633,penalty,-6.557399
31,[-7.3502359],"[-7.377107372368, -1.508968957963]",-1125.835801,penalty,-6.557399
32,[-7.3147920],"[-7.353891121257, -1.482186889331]",-1120.835969,penalty,-6.557399
33,[-7.2793480],"[-7.330674870146, -1.455404820698]",-1115.836137,penalty,-6.557399
34,[-7.2439041],"[-7.307458619036, -1.428622752066]",-1110.836305,penalty,-6.557399
35,[-7.2084601],"[-7.284242367925, -1.401840683433]",-1105.836473,penalty,-6.557399
36,[-7.1730162],"[-7.261026116814, -1.375058614801]",-1100.836641,penalty,-6.557399
37,[-7.1375722],"[-7.237809865704, -1.348276546168]",-1095.836809,penalty,-6.557399
38,[-7.1021283],"[-7.214593614593, -1.321494477536]",-1090.836977,penalty,-6.557399
39,[-7.0666843],"[-7.191377363482, -1.294712408903]",-1085.837145,penalty,-6.557399
40,[-7.0312404],"[-7.168161112371, -1.267930340271]",-1080.837313,penalty,-6.557399
41,[-6.9957964],"[-7.144944861261, -1.241148271638]",-1075.837481,penalty,-6.557399
42,[-6.9603525],"[-7.121728610150, -1.214366203006]",-1070.837649,penalty,-6.557399
43,[-6.9249085],"[-7.098512359039, -1.187584134374]",-1065.837817,penalty,-6.557399
44,[-6.8894646],"[-7.075296107929, -1.160802065741]",-1060.837985,penalty,-6.557399
45,[-6.8540206],"[-7.052079856818, -1.134019997109]",-1055.838153,penalty,-6.557399
46,[-6.8185767],"[-7.028863605707, -1.107237928476]",-1050.838321,penalty,-6.557399
47,[-6.7831327],"[-7.005647354596, -1.080455859844]",-1045.838489,penalty,-6.557399
48,[-6.7476888],"[-6.982431103486, -1.053673791211]",-1040.838657,penalty,-6.557399
49,[-6.7122449],"[-6.959214852375, -1.026891722579]",-1035.838825,penalty,-6.557399
50,[-6.6768009],"[-6.935998601264, -1.000109653946]",-1030.838993,penalty,-6.557399
51,[-6.6413570],"[-6.912782350153, -0.973327585314]",-1025.839161,penalty,-6.557399
52,[-6.6059130],"[-6.889566099043, -0.946545516681]",-1020.839329,penalty,-6.557399
53,[-6.5704691],"[-6.866349847932, -0.919763448049]",-1015.839497,penalty,-6.557399
54,[-6.5350251],"[-6.843133596821, -0.892981379417]",-1010.839665,penalty,-6.557399
