,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
0,[-10.5660710],"[-5.000000000000, 5.000000000000]",-1439.310140,penalty,0.227737
1,[-10.5306270],"[-4.974937343358, 4.974937343358]",-1434.297277,penalty,0.227406
2,[-10.4951831],"[-4.949874686717, 4.949874686717]",-1429.284393,penalty,0.227053
3,[-10.4597391],"[-4.924812030075, 4.924812030075]",-1424.271487,penalty,0.226678
4,[-10.4242952],"[-4.899749373434, 4.899749373434]",-1419.258556,penalty,0.226279
5,[-10.3888512],"[-4.874686716792, 4.874686716792]",-1414.245601,penalty,0.225854
6,[-10.3534073],"[-4.849624060150, 4.849624060150]",-1409.232618,penalty,0.225403
7,[-10.3179633],"[-4.824561403509, 4.824561403509]",-1404.219607,penalty,0.224924
8,[-10.2825194],"[-4.799498746867, 4.799498746867]",-1399.206566,penalty,0.224414
9,[-10.2470754],"[-4.774436090226, 4.774436090226]",-1394.193493,penalty,0.223872
10,[-10.2116315],"[-4.749373433584, 4.749373433584]",-1389.180386,penalty,0.223296
11,[-10.1761875],"[-4.724310776942, 4.724310776942]",-1384.167242,penalty,0.222684
12,[-10.1407436],"[-4.699248120301, 4.699248120301]",-1379.154061,penalty,0.222033
13,[-10.1052996],"[-4.674185463659, 4.674185463659]",-1374.140838,penalty,0.221342
14,[-10.0698557],"[-4.649122807018, 4.649122807018]",-1369.127573,penalty,0.220608
15,[-10.0344117],"[-4.624060150376, 4.624060150376]",-1364.114261,penalty,0.219828
16,[-9.9989678],"[-4.598997493734, 4.598997493734]",-1359.100902,penalty,0.219000
17,[-9.9635238],"[-4.573934837093, 4.573934837093]",-1354.087491,penalty,0.218120
18,[-9.9280799],"[-4.548872180451, 4.548872180451]",-1349.074025,penalty,0.217186
19,[-9.8926359],"[-4.523809523810, 4.523809523810]",-1344.060502,penalty,0.216194
20,[-9.8571920],"[-4.498746867168, 4.498746867168]",-1339.046917,penalty,0.215141
21,[-9.8217480],"[-4.473684210526, 4.473684210526]",-1334.033268,penalty,0.214023
22,[-9.7863041],"[-4.448621553885, 4.448621553885]",-1329.019550,penalty,0.212836
23,[-9.7508601],"[-4.423558897243, 4.423558897243]",-1324.005759,penalty,0.211576
24,[-9.7154162],"[-4.398496240602, 4.398496240602]",-1318.991891,penalty,0.210239
25,[-9.6799722],"[-4.373433583960, 4.373433583960]",-1313.977941,penalty,0.208821
26,[-9.6445283],"[-4.348370927318, 4.348370927318]",-1308.963904,penalty,0.207316
27,[-9.6090843],"[-4.323308270677, 4.323308270677]",-1303.949776,penalty,0.205719
28,[-9.5736404],"[-4.298245614035, 4.298245614035]",-1298.935551,penalty,0.204026
29,[-9.5381964],"[-4.273182957393, 4.273182957393]",-1293.921224,penalty,0.202229
30,[-9.5027525],"[-4.248120300752, 4.248120300752]",-1288.906787,penalty,0.200324
31,[-9.4673086],"[-4.223057644110, 4.223057644110]",-1283.892236,penalty,0.198304
32,[-9.4318646],"[-4.197994987469, 4.197994987469]",-1278.877562,penalty,0.196162
33,[-9.3964207],"[-4.172932330827, 4.172932330827]",-1273.862760,penalty,0.193891
34,[-9.3609767],"[-4.147869674185, 4.147869674185]",-1268.847821,penalty,0.191483
35,[-9.3255328],"[-4.122807017544, 4.122807017544]",-1263.832738,penalty,0.188932
36,[-9.2900888],"[-4.097744360902, 4.097744360902]",-1258.817503,penalty,0.186228
37,[-9.2546449],"[-4.072681704261, 4.072681704261]",-1253.802106,penalty,0.183362
38,[-9.2192009],"[-4.047619047619, 4.047619047619]",-1248.786538,penalty,0.180325
39,[-9.1837570],"[-4.022556390977, 4.022556390977]",-1243.770789,penalty,0.177108
40,[-9.1483130],"[-3.997493734336, 3.997493734336]",-1238.754850,penalty,0.173700
41,[-9.1128691],"[-3.972431077694, 3.972431077694]",-1233.738708,penalty,0.170090
42,[-9.0774251],"[-3.947368421053, 3.947368421053]",-1228.722353,penalty,0.166266
43,[-9.0419812],"[-3.922305764411, 3.922305764411]",-1223.705773,penalty,0.162217
