,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
0,[-6.8916583],"[-8.717238459490, -1.096349912776]",-798.331319,penalty,-0.437567
1,[-6.8562144],"[-8.686310395835, -1.113662578499]",-793.507246,penalty,-0.437567
2,[-6.8207704],"[-8.655382332180, -1.130975244221]",-788.683173,penalty,-0.437567
3,[-6.7853265],"[-8.624454268525, -1.148287909944]",-783.859100,penalty,-0.437567
4,[-6.7498825],"[-8.593526204870, -1.165600575667]",-779.035027,penalty,-0.437567
5,[-6.7144386],"[-8.562598141215, -1.182913241389]",-774.210954,penalty,-0.437567
6,[-6.6789946],"[-8.531670077560, -1.200225907112]",-769.386881,penalty,-0.437567
7,[-6.6435507],"[-8.500742013905, -1.217538572834]",-764.562808,penalty,-0.437567
8,[-6.6081067],"[-8.469813950250, -1.234851238557]",-759.738735,penalty,-0.437567
9,[-6.5726628],"[-8.438885886595, -1.252163904279]",-754.914662,penalty,-0.437567
10,[-6.5372188],"[-8.407957822940, -1.269476570002]",-750.090589,penalty,-0.437567
11,[-6.5017749],"[-8.377029759285, -1.286789235725]",-745.266516,penalty,-0.437567
12,[-6.4663309],"[-8.346101695630, -1.304101901447]",-740.442443,penalty,-0.437567
13,[-6.4308870],"[-8.315173631975, -1.321414567170]",-735.618370,penalty,-0.437567
14,[-6.3954430],"[-8.284245568320, -1.338727232892]",-730.794297,penalty,-0.437567
15,[-6.3599991],"[-8.253317504665, -1.356039898615]",-725.970224,penalty,-0.437567
16,[-6.3245551],"[-8.222389441010, -1.373352564338]",-721.146152,penalty,-0.437567
17,[-6.2891112],"[-8.191461377355, -1.390665230060]",-716.322079,penalty,-0.437567
18,[-6.2536672],"[-8.160533313700, -1.407977895783]",-711.498006,penalty,-0.437567
19,[-6.2182233],"[-8.129605250045, -1.425290561505]",-706.673933,penalty,-0.437567
20,[-6.1827793],"[-8.098677186390, -1.442603227228]",-701.849860,penalty,-0.437567
21,[-6.1473354],"[-8.067749122735, -1.459915892951]",-697.025787,penalty,-0.437567
22,[-6.1118914],"[-8.036821059080, -1.477228558673]",-692.201714,penalty,-0.437567
23,[-6.0764475],"[-8.005892995425, -1.494541224396]",-687.377641,penalty,-0.437567
24,[-6.0410035],"[-7.974964931770, -1.511853890118]",-682.553568,penalty,-0.437567
25,[-6.0055596],"[-7.944036868115, -1.529166555841]",-677.729495,penalty,-0.437567
26,[-5.9701156],"[-7.913108804460, -1.546479221564]",-672.905422,penalty,-0.437567
27,[-5.9346717],"[-7.882180740805, -1.563791887286]",-668.081349,penalty,-0.437567
28,[-5.8992277],"[-7.851252677150, -1.581104553009]",-663.257276,penalty,-0.437567
29,[-5.8637838],"[-7.820324613495, -1.598417218731]",-658.433203,penalty,-0.437567
30,[-5.8283399],"[-7.789396549840, -1.615729884454]",-653.609130,penalty,-0.437567
31,[-5.7928959],"[-7.758468486185, -1.633042550176]",-648.785057,penalty,-0.437567
32,[-5.7574520],"[-7.727540422530, -1.650355215899]",-643.960985,penalty,-0.437567
33,[-5.7220080],"[-7.696612358875, -1.667667881622]",-639.136912,penalty,-0.437567
34,[-5.6865641],"[-7.665684295220, -1.684980547344]",-634.312839,penalty,-0.437567
35,[-5.6511201],"[-7.634756231565, -1.702293213067]",-629.488766,penalty,-0.437567
36,[-5.6156762],"[-7.603828167910, -1.719605878789]",-624.664693,penalty,-0.437567
37,[-5.5802322],"[-7.572900104255, -1.736918544512]",-619.840620,penalty,-0.437567
38,[-5.5447883],"[-7.541972040600, -1.754231210235]",-615.016547,penalty,-0.437567
39,[-5.5093443],"[-7.511043976945, -1.771543875957]",-610.192474,penalty,-0.437567
40,[-5.4739004],"[-7.480115913290, -1.788856541680]",-605.368401,penalty,-0.437567
41,[-5.4384564],"[-7.449187849635, -1.806169207402]",-600.544328,penalty,-0.437567
42,[-5.4030125],"[-7.418259785980, -1.823481873125]",-595.720255,penalty,-0.437567
43,[-5.3675685],"[-7.387331722325, -1.840794538848]",-590.896182,penalty,-0.437567
44,[-5.3321246],"[-7.356403658670, -1.858107204570]",-586.072109,penalty,-0.437567
45,[-5.2966806],"[-7.325475595015, -1.875419870293]",-581.248036,penalty,-0.437567
46,[-5.2612367],"[-7.294547531360, -1.892732536015]",-576.423963,penalty,-0.437567
47,[-5.2257927],"[-7.263619467705, -1.910045201738]",-571.599890,penalty,-0.437567
48,[-5.1903488],"[-7.232691404050, -1.927357867460]",-566.775818,penalty,-0.437567
49,[-5.1549048],"[-7.201763340395, -1.944670533183]",-561.951745,penalty,-0.437567
50,[-5.1194609],"[-7.170835276740, -1.961983198906]",-557.127672,penalty,-0.437567
51,[-5.0840169],"[-7.139907213085, -1.979295864628]",-552.303599,penalty,-0.437567
52,[-5.0485730],"[-7.108979149430, -1.996608530351]",-547.479526,penalty,-0.437567
53,[-5.0131290],"[-7.078051085775, -2.013921196073]",-542.655453,penalty,-0.437567
54,[-4.9776851],"[-7.047123022120, -2.031233861796]",-537.831380,penalty,-0.437567
55,[-4.9422411],"[-7.016194958465, -2.048546527519]",-533.007307,penalty,-0.437567
56,[-4.9067972],"[-6.985266894810, -2.065859193241]",-528.183234,penalty,-0.437567
57,[-4.8713532],"[-6.954338831155, -2.083171858964]",-523.359161,penalty,-0.437567
58,[-4.8359093],"[-6.923410767500, -2.100484524686]",-518.535088,penalty,-0.437567
59,[-4.8004653],"[-6.892482703845, -2.117797190409]",-513.711015,penalty,-0.437567
60,[-4.7650214],"[-6.861554640190, -2.135109856132]",-508.886942,penalty,-0.437567
61,[-4.7295774],"[-6.830626576535, -2.152422521854]",-504.062869,penalty,-0.437567
62,[-4.6941335],"[-6.799698512880, -2.169735187577]",-499.238796,penalty,-0.437567
63,[-4.6586895],"[-6.768770449225, -2.187047853299]",-494.414723,penalty,-0.437567
64,[-4.6232456],"[-6.737842385570, -2.204360519022]",-489.590651,penalty,-0.437567
65,[-4.5878016],"[-6.706914321915, -2.221673184745]",-484.766578,penalty,-0.437567
66,[-4.5523577],"[-6.675986258260, -2.238985850467]",-479.942505,penalty,-0.437567
67,[-4.5169137],"[-6.645058194605, -2.256298516190]",-475.118432,penalty,-0.437567
68,[-4.4814698],"[-6.614130130950, -2.273611181912]",-470.294359,penalty,-0.437567
69,[-4.4460258],"[-6.583202067295, -2.290923847635]",-465.470286,penalty,-0.437567
70,[-4.4105819],"[-6.552274003640, -2.308236513357]",-460.646213,penalty,-0.437567
71,[-4.3751379],"[-6.521345939985, -2.325549179080]",-455.822140,penalty,-0.437567
72,[-4.3396940],"[-6.490417876330, -2.342861844803]",-450.998067,penalty,-0.437567
73,[-4.3042500],"[-6.459489812675, -2.360174510525]",-446.173994,penalty,-0.437567
74,[-4.2688061],"[-6.428561749020, -2.377487176248]",-441.349921,penalty,-0.437567
75,[-4.2333621],"[-6.397633685365, -2.394799841970]",-436.525848,penalty,-0.437567
76,[-4.1979182],"[-6.366705621710, -2.412112507693]",-431.701775,penalty,-0.437567
77,[-4.1624743],"[-6.335777558055, -2.429425173416]",-426.877702,penalty,-0.437567
78,[-4.1270303],"[-6.304849494400, -2.446737839138]",-422.053629,penalty,-0.437567
79,[-4.0915864],"[-6.273921430745, -2.464050504861]",-417.229556,penalty,-0.437567
80,[-4.0561424],"[-6.242993367090, -2.481363170583]",-412.405484,penalty,-0.437567
81,[-4.0206985],"[-6.212065303435, -2.498675836306]",-407.581411,penalty,-0.437567
82,[-3.9852545],"[-6.181137239780, -2.515988502029]",-402.757338,penalty,-0.437567
83,[-3.9498106],"[-6.150209176125, -2.533301167751]",-397.933265,penalty,-0.437567
84,[-3.9143666],"[-6.119281112470, -2.550613833474]",-393.109192,penalty,-0.437567
85,[-3.8789227],"[-6.088353048815, -2.567926499196]",-388.285119,penalty,-0.437567
86,[-3.8434787],"[-6.057424985160, -2.585239164919]",-383.461046,penalty,-0.437567
87,[-3.8080348],"[-6.026496921505, -2.602551830641]",-378.636973,penalty,-0.437567
88,[-3.7725908],"[-5.995568857850, -2.619864496364]",-373.812900,penalty,-0.437567
89,[-3.7371469],"[-5.964640794195, -2.637177162087]",-368.988827,penalty,-0.437567
90,[-3.7017029],"[-5.933712730540, -2.654489827809]",-364.164754,penalty,-0.437567
91,[-3.6662590],"[-5.902784666885, -2.671802493532]",-359.340681,penalty,-0.437567
92,[-3.6308150],"[-5.871856603230, -2.689115159254]",-354.516608,penalty,-0.437567
