x,z,p,acqf,penalty,pacqf
[-1.25 -0.25],[-2.9370048],[5136.14716986],15.086334538872398,0.0,15.086334538872398
[-0.75  1.75],[-1.5051099],[187.46779282],0.019413013061167394,0.0,0.019413013061167394
[ 3.75 -3.75],[-0.35270882],[138303.80579272],0.007805677736387752,0.0,0.007805677736387752
[ 1.25 -1.75],[-1.5200198],[42112.19488232],0.020985401871772173,0.0,0.020985401871772173
[-0.25  3.25],[-0.32288814],[1429.21232207],0.00906508632764491,0.0,0.00906508632764491
[ 2.75 -4.75],[-1.7184576],[175088.70535156],0.06240704693655921,0.0,0.06240704693655921
[-4.75  4.75],[-3.4726772],[42704.18349292],45.95376637198844,0.0,45.95376637198844
[-3.75 -0.75],[-5.3526835],[4713.84305615],126.21108187922205,0.0,126.21108187922205
[-2.25  0.75],[-3.30406],[187.78542782],34.84563151280007,0.0,34.84563151280007
[-2.75 -1.25],[-4.7359548],[12294.96882223],85.99428979888573,0.0,85.99428979888573
[4.75 3.75],[4.2587957],[2208.61301753],4190.023748777942,-0.3290701,-0.3290700912475586
[0.25 2.75],[-0.13936067],[186.15781953],0.02676888026866858,0.0,0.02676888026866858
[-1.75 -3.25],[-4.868247],[63769.09190918],88.70526876848389,0.0,88.70526876848389
[2.25 0.25],[0.34507614],[9039.8630274],0.9498446727385086,0.0,0.9498446727385086
[-4.25 -2.75],[-6.7845783],[34179.01230805],895.4645264446445,0.0,895.4645264446445
[0.75 2.25],[0.0441668],[186.7678124],0.09737645490735905,0.0,0.09737645490735905
[ 3.25 -2.25],[-0.03688908],[72232.36125991],0.05402844136520244,0.0,0.05402844136520244
[-3.25  1.25],[-3.9207885],[410.85091438],72.44762162128627,0.0,72.44762162128627
[ 4.25 -4.25],[-0.16918135],[169731.20177552],0.022071355659431142,0.0,0.022071355659431142
[1.75 4.25],[1.9092629],[4649.55333706],1156.612341936583,0.0,1156.612341936583
[2.72184467 3.01991963],[2.1370344],[203.96495056],1680.1890524852693,0.0,1680.1890524852693
[2.50427961 3.23693609],[2.056902],[184.37475586],1490.9151361798176,0.0,1490.9151361798176
[3.01987219 2.72264385],[2.246802],[293.81408691],1942.1530944591493,0.0,1942.1530944591493
[2.11207294 2.05955267],[1.1291704],[188.36540222],111.04615075784473,0.0,111.04615075784473
[1.85903597 2.36512566],[1.0625255],[188.11659241],82.0981711465986,0.0,82.0981711465986
[2.29624581 1.83714163],[1.177678],[190.29161072],136.73874938960444,0.0,136.73874938960444
[-3.02030158 -1.94249773],[-5.315941],[22625.19726562],121.13729752217053,0.0,121.13729752217053
[-2.88482308 -2.12162328],[-5.288008],[26786.53515625],117.5838970422927,0.0,117.5838970422927
[-2.79453087 -2.24100518],[-5.269392],[29758.78515625],115.35853955022301,0.0,115.35853955022301
[3.89263749 3.68981528],[3.4859219],[964.04284668],3766.0116843307596,0.0,3766.0116843307596
[4.1415987  3.40465951],[3.5592308],[1263.5847168],3801.7539643101413,0.0,3801.7539643101413
[3.93753409 3.63839149],[3.4991422],[1012.77661133],3772.6931931114395,0.0,3772.6931931114395
[0.0993624  0.40965021],[-1.43852],[2685.03027344],0.013852175864650684,0.0,0.013852175864650684
[ 0.70602751 -0.39384657],[-1.3141277],[12375.87207031],0.007795698043742894,0.0,0.007795698043742894
[ 1.78109908 -1.81772387],[-1.0936921],[47476.53125],0.003592586470918388,0.0,0.003592586470918388
[3.30935192 2.80253816],[2.537503],[451.16363525],2603.308731944742,0.0,2603.308731944742
[3.04612875 3.13547039],[2.4756947],[305.74847412],2470.427670698804,0.0,2470.427670698804
[4.18617439 1.69350827],[2.743393],[2434.40942383],2999.786954593413,0.0,2999.786954593413
[4.89506292 3.72940207],[4.3741927],[2481.83276367],4293.517790575559,-1.3288736,-1.328873634338379
[4.73949766 3.94571185],[4.3474245],[2191.82446289],4268.143567683095,-1.0969543,-1.096954345703125
[4.89700365 3.72670341],[4.374527],[2485.66455078],4293.827355652432,-1.331768,-1.3317680358886719
[3.98062539 2.86128211],[3.1484294],[1064.75708008],3533.6390032812797,0.0,3533.6390032812797
[4.25826836 2.4295845 ],[3.1734128],[1421.6842041],3556.215533020972,0.0,3556.215533020972
[4.30411816 2.35829401],[3.1775384],[1487.49780273],3559.864615813837,0.0,3559.864615813837
[4.9999218  3.24012518],[4.220724],[2688.2355957],4159.227261106167,0.0,4159.227261106167
[4.89862442 3.41588306],[4.220724],[2488.51855469],4159.222820889117,0.0,4159.222820889117
[4.8740921  3.45844841],[4.220724],[2440.3996582],4159.227261106167,0.0,4159.227261106167
