evaluations raw_y raw_y_best x0 x1 x2 x3 x4
1 66.6693572125 66.6693572125 1.333333 0.666667 0.666667 -2.000000 2.666667
10 36.6140327547 36.6140327547 -2.000000 2.000000 -2.000000 -4.000000 -0.666667
12 9.0736712894 9.0736712894 -4.000000 4.000000 4.000000 -4.666667 -1.333333
17 8.2249490466 8.2249490466 -3.998120 3.961393 3.882856 -4.456081 -1.260718
18 8.0676434562 8.0676434562 -3.902227 3.849104 3.885611 -4.661416 -1.099867
20 10.7501825576 8.0676434562 -3.821372 4.093422 4.043983 -4.531460 -1.087389
25 7.5572428807 7.5572428807 -4.028125 3.917725 3.729900 -4.374758 -0.992167
26 6.2112198975 6.2112198975 -4.189702 3.752047 3.717292 -4.639417 -1.204914
30 5.3872660546 5.3872660546 -4.138655 3.650375 3.970479 -4.334074 -1.224507
34 3.9844418425 3.9844418425 -4.149928 3.550327 3.615517 -4.356530 -1.120847
40 6.4926289800 3.9844418425 -4.166076 3.661583 4.297136 -4.352151 -1.299199
41 3.0770162390 3.0770162390 -4.196322 3.324694 3.822754 -4.316785 -1.380282
43 2.4151754305 2.4151754305 -4.293022 3.363519 3.771077 -4.559307 -0.913747
46 2.1553159602 2.1553159602 -4.449188 3.225926 3.979006 -4.228222 -1.071320
50 2.0444520146 2.0444520146 -4.247750 3.044361 3.657838 -4.467308 -1.109734
57 2.0408654629 2.0408654629 -4.550303 2.991765 3.813806 -4.784578 -0.872156
60 4.6719693540 2.0408654629 -4.408596 3.496527 3.787166 -4.894305 -0.624370
65 2.0333230386 2.0333230386 -4.398294 3.140390 3.766836 -4.459334 -1.037314
67 2.0036280839 2.0036280839 -4.325591 2.558128 3.625444 -4.604689 -1.057676
70 2.1291475894 2.0036280839 -4.650207 2.740135 4.011892 -4.707312 -1.322021
80 3.0352963891 2.0036280839 -4.431136 2.484618 3.578841 -4.305153 -1.552300
83 1.9688239250 1.9688239250 -4.482382 2.785649 3.700905 -4.423095 -1.021457
90 3.3175785317 1.9688239250 -4.235169 2.633158 4.367978 -4.883815 -1.132933
100 4.0070704126 1.9688239250 -4.666448 2.353962 4.137930 -4.810960 -0.418906
110 2.9893041440 1.9688239250 -5.000000 2.739694 3.957304 -5.000000 -1.010320
120 6.1380497148 1.9688239250 -3.982338 1.991344 3.277203 -4.537322 -1.418114
130 7.4868496870 1.9688239250 -5.000000 3.086802 3.657541 -4.960160 -0.058778
140 7.7322539816 1.9688239250 -3.648814 2.413973 3.990968 -3.587521 -0.565454
150 8.7746002903 1.9688239250 -3.721199 2.729572 3.498667 -4.008025 -1.932733
160 8.4469274947 1.9688239250 -5.000000 3.875343 3.369672 -5.000000 -0.796817
170 9.8025697849 1.9688239250 -4.018360 3.346885 4.302972 -3.126251 -1.290332
180 11.2698357438 1.9688239250 -3.158954 2.305414 3.807153 -5.000000 -0.203103
190 2.1992442373 1.9688239250 -4.304156 2.675944 3.315090 -5.000000 -0.862059
200 2.3719624467 1.9688239250 -4.566106 2.367626 3.496418 -5.000000 -1.149860
