evaluations raw_y raw_y_best x0 x1 x2 x3 x4
1 709.8305455653 709.8305455653 1.333333 0.666667 0.666667 -2.000000 2.666667
2 333.4861987281 333.4861987281 4.666667 -1.333333 -2.666667 1.333333 0.000000
5 90.9818008109 90.9818008109 3.333333 -4.666667 3.333333 3.333333 2.000000
10 64.3602091133 64.3602091133 -2.000000 2.000000 -2.000000 -4.000000 -0.666667
17 42.5033312983 42.5033312983 -2.010747 1.773801 -1.743858 -3.750237 -0.739898
20 31.5967831306 31.5967831306 -2.181919 1.754095 -2.067403 -3.773046 -1.032301
25 19.4726022023 19.4726022023 -2.313582 1.585656 -1.892488 -3.271092 -0.944415
30 44.7541965267 19.4726022023 -2.750357 1.139090 -2.047247 -3.253982 -0.804517
33 15.8579890741 15.8579890741 -2.104248 0.989989 -2.031063 -3.004785 -1.169263
40 18.0912930536 15.8579890741 -1.962417 1.374051 -1.478217 -2.683355 -1.055342
50 27.0343706602 15.8579890741 -2.053881 0.651347 -2.527802 -2.443142 -0.843796
60 25.4562985887 15.8579890741 -2.769333 1.894678 -2.868545 -2.850968 -0.530336
65 15.5925416901 15.5925416901 -0.848742 1.110719 -2.204230 -3.080974 -1.436408
68 15.0031929930 15.0031929930 -1.195631 1.483159 -1.841752 -3.014356 -1.991192
69 13.9095592288 13.9095592288 -1.191768 0.757433 -1.901401 -3.244923 -2.051206
70 23.3810118772 13.9095592288 -0.861609 1.016455 -2.323503 -2.712880 -2.172851
74 13.7184227981 13.7184227981 -1.748762 2.067335 -2.028397 -2.138708 -0.896667
77 13.6393169045 13.6393169045 -1.007332 1.552400 -1.806138 -2.247213 -1.450101
80 18.3046359401 13.6393169045 -0.672570 0.955800 -1.478695 -2.745542 -1.775259
84 12.1452940535 12.1452940535 -1.265803 1.246861 -1.469154 -2.060816 -0.705665
90 11.2828196662 11.2828196662 -1.133995 2.012158 -1.654707 -1.599838 -0.728942
100 17.4701783732 11.2828196662 -1.032785 1.945338 -1.223446 -1.250171 -1.591894
109 7.7707444927 7.7707444927 -0.709074 1.158489 -1.326518 -1.252789 -0.800451
110 18.0409891716 7.7707444927 -2.021653 1.806024 -2.009842 -1.907713 0.395460
120 17.6724437498 7.7707444927 -2.017816 1.411329 -1.522733 -0.995494 0.166573
130 20.3039893854 7.7707444927 -0.294466 2.489095 -1.030867 -1.710074 -1.843543
132 6.3626917062 6.3626917062 -0.761774 0.883492 -1.235918 -0.635428 -0.019763
140 16.5165303892 6.3626917062 -0.416639 0.408609 -1.061409 -1.990684 -2.319268
150 11.3731312433 6.3626917062 -1.844438 2.225555 -1.512745 -0.410932 0.670114
160 4.6823451592 4.6823451592 -0.602644 1.604412 -0.973785 0.066125 0.040075
166 3.7688815711 3.7688815711 -0.585334 0.808098 -0.584476 0.060416 -0.307327
170 28.6740221956 3.7688815711 -0.924977 0.019223 -2.203633 -0.729499 0.495412
180 30.1281536047 3.7688815711 0.182363 1.387025 -0.000778 -0.966014 -0.730804
190 18.8884214544 3.7688815711 -0.415773 -0.482724 -0.268078 -0.592977 0.478728
200 18.7196116268 3.7688815711 0.304879 -0.394262 -0.350382 0.401040 -0.848807
