evaluations raw_y raw_y_best x0 x1 x2 x3 x4
1 361.7691815124 361.7691815124 -1.500000 -1.500000 -4.500000 3.500000 0.500000
2 385.7158302564 361.7691815124 4.500000 -4.500000 -2.500000 -2.500000 -0.500000
3 231.8065125682 231.8065125682 0.500000 -3.500000 4.500000 -0.500000 -1.500000
4 564.2300996157 231.8065125682 1.500000 1.500000 0.500000 -4.500000 1.500000
5 804.4839429913 231.8065125682 -4.500000 4.500000 -1.500000 -1.500000 3.500000
6 242.7644437139 231.8065125682 -2.500000 0.500000 2.500000 4.500000 4.500000
7 437.4622934388 231.8065125682 3.500000 -0.500000 1.500000 2.500000 -4.500000
8 1334.0919858616 231.8065125682 -3.500000 -2.500000 3.500000 -3.500000 -2.500000
9 231.8102603214 231.8065125682 2.500000 3.500000 -0.500000 1.500000 2.500000
10 3036.2376614896 231.8065125682 -0.500000 2.500000 -3.500000 0.500000 -3.500000
11 165.1240852825 165.1240852825 4.951699 -2.621708 2.963866 4.133379 -0.227960
12 1283.8179014728 165.1240852825 5.000000 -5.000000 0.010509 -1.448865 -5.000000
13 329.3402550462 165.1240852825 -1.082251 -4.028817 -4.961399 5.000000 0.136715
14 366.6804431730 165.1240852825 3.783403 4.653141 5.000000 -3.289268 1.346855
15 202.2328215116 165.1240852825 -1.576072 -0.016310 -3.431802 5.000000 3.406613
16 130.0355472227 130.0355472227 0.921404 0.205281 3.783551 1.724453 1.019474
17 1114.5578692829 130.0355472227 -5.000000 5.000000 3.318317 -2.557083 5.000000
18 1891.0554722817 130.0355472227 5.000000 1.471948 -1.234550 -5.000000 -3.555388
19 399.5105635732 130.0355472227 3.834252 4.578906 1.334620 5.000000 4.084546
20 105.1476664143 105.1476664143 -1.816678 -2.894026 -0.714374 5.000000 0.918833
21 3289.5076603380 105.1476664143 5.000000 -5.000000 -5.000000 3.754092 -4.946324
22 477.0255573763 105.1476664143 -5.000000 -3.116467 -5.000000 5.000000 2.635854
23 133.8676248587 105.1476664143 0.699114 -0.014941 0.800559 2.352905 0.827993
24 190.7041959161 105.1476664143 2.474483 -3.438524 5.000000 5.000000 0.180662
25 143.6211496951 105.1476664143 0.495465 -0.458011 -0.014205 5.000000 2.016552
26 290.4737333840 105.1476664143 -0.106444 4.914023 0.921553 2.517449 4.109022
