evaluations raw_y raw_y_best x0 x1 x2 x3 x4 x5 x6 x7 x8 x9
1 65.9648018584 65.9648018584 -3.500000 -3.500000 1.500000 -0.833333 2.500000 0.833333 1.166667 -2.166667 -1.500000 0.500000
2 26.5193041970 26.5193041970 0.500000 -4.166667 -4.166667 -2.166667 -0.833333 3.500000 -3.833333 -4.166667 3.500000 -3.500000
3 13.2820706879 13.2820706879 2.833333 -0.166667 -1.833333 3.833333 -1.166667 -0.833333 -4.833333 -4.500000 0.833333 -4.833333
4 15.1160670760 13.2820706879 -0.166667 4.500000 -2.833333 -0.500000 0.166667 2.500000 -3.166667 -1.166667 0.500000 -0.500000
5 205.7301852587 13.2820706879 0.166667 -3.833333 2.166667 4.500000 -3.833333 4.500000 3.833333 -0.500000 1.833333 2.166667
6 35.9042530598 13.2820706879 -2.166667 -2.166667 -3.166667 0.833333 -0.500000 -4.500000 1.500000 3.500000 4.166667 -1.833333
7 41.0348274148 13.2820706879 1.833333 -1.833333 0.500000 -1.500000 -1.833333 3.833333 2.833333 -3.166667 2.166667 4.500000
8 19.8479079013 13.2820706879 3.500000 -2.500000 3.500000 -3.833333 2.833333 4.833333 -1.500000 3.833333 1.500000 1.500000
9 19.5488748671 13.2820706879 4.833333 1.166667 0.166667 4.166667 -0.166667 -2.833333 -2.166667 0.500000 -3.166667 3.166667
10 59.5253662894 13.2820706879 -1.833333 -0.833333 2.833333 3.500000 -2.500000 1.833333 -1.833333 -2.500000 -2.500000 -2.166667
11 33.1815142760 13.2820706879 1.500000 2.833333 0.833333 -2.500000 -2.166667 -4.833333 2.166667 4.500000 -2.833333 3.500000
12 41.1162622144 13.2820706879 -4.833333 3.500000 3.833333 -0.166667 4.833333 -3.166667 -0.833333 1.166667 -2.166667 -3.833333
13 179.9494679284 13.2820706879 -2.500000 -0.500000 1.166667 0.166667 -4.166667 1.166667 -3.500000 -3.833333 -4.500000 1.833333
14 15.3547172034 13.2820706879 3.833333 0.500000 -0.833333 -1.833333 3.833333 1.500000 4.833333 3.166667 4.500000 -4.166667
15 13.8837900717 13.2820706879 3.166667 -2.833333 -0.500000 2.500000 2.166667 -1.833333 -4.500000 -0.833333 1.166667 -1.500000
16 23.8132107757 13.2820706879 4.500000 -1.166667 2.500000 1.500000 0.833333 -1.500000 4.166667 -2.833333 2.500000 -2.500000
17 28.1459241440 13.2820706879 -3.166667 4.166667 -1.500000 4.833333 4.166667 2.833333 -2.833333 2.500000 -0.833333 2.500000
18 126.5070134263 13.2820706879 -4.166667 -4.833333 3.166667 -3.166667 1.500000 4.166667 3.500000 -3.500000 -1.166667 -0.166667
19 33.6396475891 13.2820706879 -2.833333 3.166667 1.833333 -4.833333 -2.833333 2.166667 -0.500000 2.166667 0.166667 -2.833333
20 110.5736409941 13.2820706879 -3.833333 2.166667 4.166667 2.166667 -4.500000 -2.166667 0.500000 1.500000 -3.833333 -4.500000
21 89.5766467626 13.2820706879 2.500000 -3.166667 -1.166667 0.500000 -3.500000 -4.166667 -1.166667 4.833333 -0.500000 0.166667
22 35.8140669880 13.2820706879 -1.166667 3.833333 -0.166667 -3.500000 -4.833333 0.500000 1.833333 4.166667 2.833333 3.833333
23 15.6025676761 13.2820706879 1.166667 2.500000 -2.500000 -4.500000 3.166667 -0.500000 0.833333 1.833333 -1.833333 0.833333
24 98.8764712994 13.2820706879 -0.833333 0.166667 4.500000 2.833333 -3.166667 -3.500000 4.500000 -4.833333 -4.833333 4.833333
25 19.6799494208 13.2820706879 -4.500000 0.833333 -2.166667 -4.166667 4.500000 0.166667 -2.500000 2.833333 3.166667 -1.166667
26 110.6017095031 13.2820706879 -1.500000 -4.500000 -3.833333 -1.166667 -1.500000 -2.500000 -4.166667 0.166667 -4.166667 -3.166667
27 87.3623210803 13.2820706879 2.166667 1.833333 -4.833333 3.166667 3.500000 -3.833333 2.500000 -1.500000 3.833333 2.833333
28 20.1811067521 13.2820706879 0.833333 4.833333 4.833333 1.166667 1.166667 -0.166667 3.166667 0.833333 -0.166667 4.166667
29 16.5573717520 13.2820706879 -0.500000 -1.500000 -4.500000 1.833333 1.833333 3.166667 -0.166667 -0.166667 4.833333 -0.833333
30 21.7377094315 13.2820706879 4.166667 1.500000 -3.500000 -2.833333 0.500000 -1.166667 0.166667 -1.833333 -3.500000 1.166667
31 10.8505797234 10.8505797234 3.785296 1.105950 -0.576106 -0.912421 2.798177 4.012047 -1.088570 -1.214418 2.232794 -2.698191
32 26.8583133380 10.8505797234 3.058416 3.027723 -3.061360 -1.801824 2.840665 -4.481399 -1.700465 -1.090038 -4.289472 -1.842575
33 6.0410199947 6.0410199947 2.170479 0.390780 1.010788 -0.028318 2.018814 -0.232046 1.969897 -0.160541 -0.153686 -0.129936
34 66.3138517453 6.0410199947 -0.964094 -1.313066 0.823879 -1.972014 -3.250659 2.494204 1.011446 -0.623681 0.892653 0.271427
35 21.2010267152 6.0410199947 -0.247432 -0.000290 -4.352646 1.999189 1.406984 -3.001436 -1.778006 2.907472 1.611878 1.889467
36 15.1602990939 6.0410199947 -0.351229 2.099722 -2.427266 -3.035679 2.052130 -1.284960 -0.063998 -1.434203 -1.965771 -2.220220
37 26.8979095190 6.0410199947 3.766703 -4.802750 0.824948 1.278567 -1.441357 1.929421 -4.099088 -2.706960 1.208818 -3.687292
38 27.0116056600 6.0410199947 -0.578755 -3.668296 -2.347689 -0.288647 4.013178 1.229695 -2.119427 0.935189 2.941991 -1.194458
39 18.5988636614 6.0410199947 0.489280 -0.327548 -2.053995 0.358380 -0.782066 4.530345 -4.195505 -3.240467 2.759931 -4.216179
40 14.5079509400 6.0410199947 0.901856 -1.132365 -1.617307 -0.427128 -0.160395 0.275754 -3.196507 -0.091922 0.456993 -1.748833
41 138.5481687204 6.0410199947 1.596270 -4.376866 4.359125 0.737110 -3.109247 0.184755 2.379464 -2.497158 -2.722018 3.328037
42 16.3163709348 6.0410199947 0.854300 1.439101 -1.135729 0.304855 0.163845 -2.064705 -0.768175 -0.256958 -2.673891 2.377624
