evaluations raw_y raw_y_best x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19
1 18.6240895928 18.6240895928 2.416667 0.916667 -2.250000 -0.583333 -1.416667 -4.250000 0.750000 -4.416667 -1.583333 -4.083333 2.416667 -3.250000 0.416667 -1.416667 2.416667 -1.916667 -4.083333 2.583333 3.416667 -0.416667
2 16.4127467549 16.4127467549 -4.916667 0.583333 -4.750000 0.750000 -3.250000 2.250000 -1.416667 -1.250000 2.250000 -2.083333 -2.583333 -4.750000 2.583333 -3.083333 1.750000 0.583333 -3.416667 1.583333 1.083333 0.750000
3 80.4265135451 16.4127467549 2.250000 -0.250000 1.583333 -4.916667 0.916667 2.583333 3.750000 -1.750000 3.083333 4.250000 4.250000 1.916667 -2.750000 -2.916667 1.916667 0.250000 2.083333 3.083333 -0.583333 -1.083333
4 33.9248184944 16.4127467549 -1.583333 -0.583333 2.083333 -2.416667 4.416667 -3.416667 -3.416667 -2.416667 1.583333 3.916667 3.083333 1.083333 -4.250000 3.083333 0.416667 2.583333 -1.916667 -1.583333 -3.750000 -4.083333
5 23.8132223233 16.4127467549 -0.083333 3.750000 0.583333 -1.583333 -2.916667 -2.250000 1.250000 3.750000 -2.916667 1.583333 -4.250000 4.750000 -1.083333 -1.583333 -1.416667 -1.583333 -4.416667 -0.083333 4.916667 0.250000
6 61.4547218865 16.4127467549 3.083333 -3.250000 1.250000 -3.250000 -0.583333 4.583333 -0.083333 -4.750000 -0.416667 4.916667 2.916667 -3.916667 4.416667 -3.250000 -2.250000 0.083333 -4.250000 -0.916667 2.083333 4.916667
7 58.9949057964 16.4127467549 -1.250000 -2.583333 -4.250000 -1.750000 -3.083333 4.750000 -2.750000 -3.750000 1.750000 -3.416667 4.416667 4.916667 3.250000 4.583333 -4.750000 -0.583333 3.916667 -1.083333 -3.583333 -3.750000
8 27.5886389409 16.4127467549 2.583333 0.416667 -0.916667 -1.416667 4.583333 4.916667 -3.083333 0.750000 4.250000 0.750000 -1.250000 -1.916667 1.583333 -4.750000 3.916667 4.416667 1.250000 2.916667 -0.916667 -0.916667
9 18.1109051150 16.4127467549 0.750000 4.916667 0.083333 2.583333 -0.750000 1.416667 -2.416667 1.416667 -2.416667 0.916667 2.250000 3.916667 -3.583333 -3.416667 3.750000 4.583333 1.583333 3.916667 4.250000 -2.250000
10 33.2999227748 16.4127467549 2.083333 -0.916667 -2.416667 2.750000 -2.250000 -1.750000 -3.750000 3.083333 3.916667 3.750000 3.416667 2.250000 3.916667 -3.916667 -1.916667 3.416667 -4.750000 -3.583333 -2.416667 3.583333
11 57.1751509412 16.4127467549 1.750000 -1.750000 2.416667 -2.916667 -1.583333 4.416667 0.916667 -3.583333 4.750000 -2.250000 1.583333 0.083333 0.916667 0.416667 -1.750000 -3.083333 -2.750000 -4.916667 3.583333 3.416667
12 24.2720857301 16.4127467549 -3.583333 -3.916667 -4.416667 0.583333 0.083333 0.416667 -4.916667 -3.916667 -2.083333 1.916667 0.750000 -0.750000 -1.750000 -2.750000 -1.250000 -3.250000 -2.083333 4.750000 3.916667 -4.750000
13 35.2393556137 16.4127467549 -0.583333 -1.416667 -3.416667 -2.583333 3.916667 0.583333 -2.250000 -4.583333 3.416667 -0.750000 2.750000 3.583333 -1.250000 1.583333 0.916667 2.916667 -4.916667 0.250000 -4.083333 4.583333
14 17.4468473473 16.4127467549 2.916667 -1.916667 -1.250000 1.250000 -4.250000 -0.416667 0.083333 -4.083333 -4.250000 -2.583333 0.583333 -2.583333 -3.750000 4.750000 4.916667 4.250000 -3.250000 2.250000 1.416667 -1.416667
15 14.3297459157 14.3297459157 0.416667 3.083333 2.916667 3.250000 1.083333 4.250000 -2.916667 -1.583333 1.416667 2.916667 -3.250000 3.416667 2.083333 -1.083333 3.416667 -0.083333 -2.583333 0.416667 -2.083333 2.250000
16 40.9770454832 14.3297459157 4.083333 -3.083333 -4.583333 3.916667 2.750000 -0.916667 -2.583333 3.916667 3.750000 -3.750000 -0.583333 -3.750000 -4.416667 0.083333 0.583333 -2.083333 -1.250000 -2.416667 2.583333 -0.083333
17 24.9534882337 14.3297459157 -1.916667 -3.750000 -4.083333 -1.916667 -1.750000 -0.750000 -0.250000 0.083333 3.250000 2.583333 -3.750000 -4.916667 -0.583333 2.583333 -0.916667 0.416667 -0.750000 -1.250000 4.750000 3.083333
18 23.4912110755 14.3297459157 -3.416667 -0.083333 4.583333 0.250000 -2.583333 -4.416667 -0.416667 -3.416667 2.583333 -2.916667 -3.083333 -3.583333 2.250000 1.916667 -3.750000 1.250000 -3.583333 4.416667 3.083333 -1.250000
19 53.5048296821 14.3297459157 -4.750000 0.083333 -0.583333 -3.416667 -4.750000 3.750000 0.250000 -1.916667 -0.250000 -2.750000 1.083333 -1.416667 -4.750000 3.750000 -2.750000 3.083333 -1.416667 -4.083333 -2.750000 0.583333
20 24.5499767511 14.3297459157 3.416667 -4.583333 -2.916667 4.250000 -1.250000 2.416667 2.083333 1.750000 -0.083333 -3.583333 -1.916667 -2.416667 -2.916667 -3.583333 -3.416667 1.583333 -1.583333 1.083333 -3.416667 2.416667
21 21.9938316596 14.3297459157 1.916667 -2.916667 -1.583333 4.750000 1.750000 -2.750000 -4.583333 -2.083333 -4.083333 -4.916667 -2.750000 3.083333 -2.250000 -0.916667 -3.916667 2.083333 1.916667 0.916667 -1.416667 -4.416667
22 35.7734751190 14.3297459157 -3.750000 -2.250000 -2.750000 -2.083333 0.583333 -2.916667 4.750000 3.583333 4.583333 4.750000 -4.416667 0.750000 3.583333 -2.416667 -2.916667 -3.750000 1.750000 -2.916667 -0.750000 -0.750000
23 29.6024746448 14.3297459157 -4.416667 -4.083333 1.750000 1.083333 3.083333 -3.250000 2.916667 -0.416667 0.583333 3.416667 -0.250000 -2.750000 4.250000 -1.750000 -3.583333 1.083333 3.416667 -0.750000 -3.916667 -3.250000
24 23.7106716950 14.3297459157 4.750000 1.083333 -3.750000 0.083333 -3.416667 -4.916667 3.250000 -0.083333 -1.083333 -4.583333 0.250000 -0.583333 1.750000 0.583333 1.583333 3.250000 4.583333 3.583333 -3.083333 4.416667
25 18.8723667263 14.3297459157 -0.750000 1.583333 -1.916667 1.583333 4.916667 0.916667 2.583333 1.250000 -3.750000 0.583333 2.083333 2.583333 0.750000 -0.750000 4.083333 -3.916667 1.416667 -4.750000 3.750000 -3.083333
26 19.9809526825 14.3297459157 4.916667 -3.583333 0.916667 -3.583333 2.250000 3.416667 -3.250000 4.583333 -1.250000 -4.416667 -1.416667 -4.083333 -1.416667 2.916667 0.750000 -2.416667 4.750000 -3.083333 -4.416667 -4.250000
27 22.9624269134 14.3297459157 -2.250000 3.250000 4.916667 -3.750000 -2.750000 0.750000 -1.083333 2.083333 0.250000 -4.250000 -2.083333 -3.083333 -3.083333 0.916667 2.583333 4.750000 -2.916667 -2.250000 -4.583333 0.916667
28 34.3728612601 14.3297459157 -2.083333 2.416667 -1.083333 4.083333 1.916667 -3.083333 1.583333 -2.750000 -0.750000 -1.250000 4.750000 -3.416667 -2.416667 0.750000 -2.083333 -1.083333 -2.250000 -1.750000 0.750000 1.083333
29 19.7418275464 14.3297459157 -0.916667 2.250000 -3.916667 2.916667 1.583333 -1.250000 -3.583333 -3.250000 0.916667 3.583333 -4.916667 -1.250000 3.750000 3.583333 -0.750000 -0.416667 0.416667 1.416667 1.750000 3.916667
30 41.1499398905 14.3297459157 -4.583333 0.750000 -1.416667 -0.916667 4.750000 -4.583333 -1.750000 -2.583333 -4.583333 2.416667 4.083333 4.583333 0.583333 2.750000 -3.083333 -4.583333 2.750000 2.750000 -2.916667 -2.916667
31 34.9094685537 14.3297459157 4.416667 -1.083333 3.583333 -4.750000 0.750000 1.083333 -4.083333 -0.916667 1.083333 1.250000 -0.083333 -2.916667 -2.083333 4.083333 -4.083333 -1.416667 4.083333 0.750000 -2.583333 2.583333
