evaluations raw_y raw_y_best x0 x1 x2 x3 x4
1 5074.0137439106 5074.0137439106 -0.500000 4.500000 1.500000 -0.500000 3.500000
2 47384.8691368804 5074.0137439106 3.500000 -0.500000 0.500000 3.500000 0.500000
3 61075.5154228207 5074.0137439106 1.500000 -4.500000 -0.500000 2.500000 -0.500000
4 41772.6889304170 5074.0137439106 2.500000 -2.500000 -2.500000 1.500000 4.500000
5 15868.6116099899 5074.0137439106 -3.500000 2.500000 -3.500000 -4.500000 2.500000
6 5583.5085498119 5074.0137439106 -4.500000 0.500000 4.500000 0.500000 1.500000
7 59502.4981708164 5074.0137439106 0.500000 -3.500000 -4.500000 -2.500000 -1.500000
8 45724.8309594353 5074.0137439106 4.500000 3.500000 -1.500000 -1.500000 -2.500000
9 231824.6304924701 5074.0137439106 -2.500000 -1.500000 2.500000 4.500000 -4.500000
10 64677.9779875667 5074.0137439106 -1.500000 1.500000 3.500000 -3.500000 -3.500000
11 14730.7452057694 5074.0137439106 -5.000000 3.742506 3.895943 -1.545895 3.399829
12 20090.3080793272 5074.0137439106 -5.000000 -1.125251 3.374015 1.006055 5.000000
13 50163.1483997800 5074.0137439106 -5.000000 5.000000 -2.003906 -5.000000 -2.925324
14 28004.8603428998 5074.0137439106 -2.244402 5.000000 4.558662 -2.654659 -1.052832
15 4.7781136896 4.7781136896 -2.421401 1.585140 1.037245 -0.973946 1.812058
16 72260.6020117072 4.7781136896 -0.206634 5.000000 -5.000000 -5.000000 5.000000
17 30290.4578131473 4.7781136896 -5.000000 -1.036063 -2.777257 -5.000000 3.140673
18 65861.5116685096 4.7781136896 5.000000 5.000000 5.000000 5.000000 5.000000
19 1164.6417363830 4.7781136896 -3.233135 1.934133 1.942645 -0.577682 3.098058
20 9440.9437496726 4.7781136896 -5.000000 0.499986 5.000000 -1.443206 2.714972
21 146705.5730904682 4.7781136896 5.000000 -5.000000 -3.359083 5.000000 2.792623
22 148773.8036016595 4.7781136896 -5.000000 5.000000 5.000000 -5.000000 -5.000000
23 172.5079030629 4.7781136896 -1.156985 3.124883 1.520670 -0.730296 1.224110
24 53815.8545466305 4.7781136896 -5.000000 -2.598994 5.000000 5.000000 5.000000
25 468.2637601982 4.7781136896 -0.838573 0.691756 -0.666395 -0.643320 1.795440
26 59648.4401079954 4.7781136896 -5.000000 -5.000000 4.491273 5.000000 5.000000
27 5.5429099754 4.7781136896 -1.567304 1.637945 0.932112 -0.649501 1.620246
28 69131.4454394376 4.7781136896 -5.000000 5.000000 5.000000 -3.270589 5.000000
29 79211.4581403253 4.7781136896 -5.000000 -5.000000 0.998090 5.000000 5.000000
30 10675.2024338252 4.7781136896 5.000000 5.000000 -1.448159 -5.000000 1.031073
31 30742.4727805640 4.7781136896 5.000000 5.000000 3.722422 -5.000000 0.834416
32 93212.4601882458 4.7781136896 5.000000 5.000000 5.000000 -5.000000 5.000000
33 20.4168310555 4.7781136896 -1.282950 1.817219 1.929129 -0.121971 2.061320
34 72760.8005623653 4.7781136896 5.000000 -5.000000 5.000000 5.000000 5.000000
35 72760.8005623653 4.7781136896 5.000000 -5.000000 5.000000 5.000000 5.000000
36 72760.8005623653 4.7781136896 5.000000 -5.000000 5.000000 5.000000 5.000000
37 33.4822842671 4.7781136896 -0.744709 2.941616 0.347520 -1.602922 1.388575
38 66445.9258059011 4.7781136896 5.000000 -4.008869 5.000000 5.000000 5.000000
39 56649.9532441145 4.7781136896 5.000000 -0.797780 5.000000 5.000000 5.000000
40 120221.2168408604 4.7781136896 5.000000 5.000000 -5.000000 -5.000000 -5.000000
41 14.0567475529 4.7781136896 0.788178 3.241562 -0.283783 -1.866254 0.976892
42 58210.0205630191 4.7781136896 5.000000 1.102902 5.000000 5.000000 5.000000
43 195.8616671212 4.7781136896 -2.620294 2.529027 2.550458 -0.519073 1.958122
44 63011.8438061890 4.7781136896 5.000000 3.850445 5.000000 5.000000 5.000000
45 58322.1401762140 4.7781136896 -5.000000 1.176245 5.000000 5.000000 5.000000
46 463.4608411978 4.7781136896 -3.259694 2.679981 1.680369 -1.087251 1.687260
47 127.7236902322 4.7781136896 -1.381164 2.997562 1.034688 -1.216007 1.438439
48 61551.3026126435 4.7781136896 5.000000 3.084361 5.000000 5.000000 5.000000
49 64460.0324871522 4.7781136896 5.000000 4.543097 5.000000 5.000000 4.993602
50 65861.5116685096 4.7781136896 5.000000 5.000000 5.000000 5.000000 5.000000
51 67361.1983155503 4.7781136896 5.000000 5.000000 5.000000 5.000000 1.257471
52 109541.3555605051 4.7781136896 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
53 58.2458282333 4.7781136896 -2.611701 2.532408 1.046232 -1.148978 1.522424
54 65861.5116685096 4.7781136896 5.000000 5.000000 5.000000 5.000000 5.000000
55 65861.5116685096 4.7781136896 5.000000 5.000000 5.000000 5.000000 5.000000
56 67484.5045626082 4.7781136896 -5.000000 4.063743 5.000000 5.000000 5.000000
57 65861.5116685096 4.7781136896 5.000000 5.000000 5.000000 5.000000 5.000000
58 282428.2185430852 4.7781136896 5.000000 5.000000 5.000000 5.000000 -5.000000
59 521.1033637679 4.7781136896 0.421861 2.274778 -1.165395 -1.312070 1.418481
60 228.4050503863 4.7781136896 -2.765101 2.715868 1.460570 -1.136989 0.800457
61 73234.7642138968 4.7781136896 -5.000000 5.000000 5.000000 5.000000 5.000000
62 141.4814580023 4.7781136896 -2.520446 2.734680 1.330896 -1.028860 0.902689
63 81.4429065350 4.7781136896 0.069320 2.339627 -0.790674 -1.173029 1.375800
64 64661.8159534748 4.7781136896 5.000000 5.000000 4.607567 5.000000 5.000000
65 119.8739239209 4.7781136896 -2.677648 2.635056 1.333754 -0.925117 0.998071
66 3.7904467102 3.7904467102 -0.389937 2.411281 -0.441494 -1.138897 1.294815
67 64260.2507432726 3.7904467102 5.000000 5.000000 4.428482 5.000000 5.000000
68 100.8781319056 3.7904467102 -2.825663 2.491449 1.360513 -0.824470 1.082233
69 75.8254070392 3.7904467102 -2.610245 2.576507 1.261334 -0.829160 1.104179
70 10.8138628856 3.7904467102 -0.235200 2.309594 -0.605904 -1.016940 1.375841
71 63577.7636879355 3.7904467102 5.000000 5.000000 3.591067 5.000000 5.000000
72 64678.2362811499 3.7904467102 5.000000 5.000000 2.823717 5.000000 5.000000
73 73234.7642138968 3.7904467102 -5.000000 5.000000 5.000000 5.000000 5.000000
74 95.7552478270 3.7904467102 -2.848259 2.452358 1.137464 -0.829396 0.945426
75 54.6708562545 3.7904467102 -2.609431 2.524864 1.042924 -0.816707 0.998703
evaluations raw_y raw_y_best x0 x1 x2 x3 x4
1 51105.1415601685 51105.1415601685 -0.500000 0.500000 4.500000 3.500000 -0.500000
2 18650.9218536763 18650.9218536763 -4.500000 -0.500000 2.500000 -2.500000 -1.500000
3 17996.1912562214 17996.1912562214 1.500000 3.500000 0.500000 -1.500000 4.500000
4 9655.8013874543 9655.8013874543 -2.500000 -4.500000 1.500000 0.500000 3.500000
5 558.8216424862 558.8216424862 0.500000 -1.500000 3.500000 -0.500000 1.500000
6 198486.1901424864 558.8216424862 3.500000 2.500000 -0.500000 4.500000 -3.500000
7 30251.0868486205 558.8216424862 4.500000 4.500000 -3.500000 1.500000 2.500000
8 99543.4574003543 558.8216424862 -1.500000 -2.500000 -1.500000 -3.500000 -4.500000
9 56954.6631188438 558.8216424862 -3.500000 -3.500000 -2.500000 2.500000 0.500000
10 48725.3781920125 558.8216424862 2.500000 1.500000 -4.500000 -4.500000 -2.500000
11 31633.4428331831 558.8216424862 -0.865526 -2.758133 5.000000 -1.386666 5.000000
12 50615.1609521727 558.8216424862 4.699833 4.761711 -5.000000 -1.906885 5.000000
13 14766.6501294517 558.8216424862 -1.676083 0.877488 5.000000 -3.090646 -0.359716
14 10381.8449580388 558.8216424862 -5.000000 -5.000000 5.000000 -2.026323 0.418097
15 15553.2036584390 558.8216424862 -4.123431 0.628725 1.343920 -5.000000 1.125855
16 33657.2256233667 558.8216424862 -5.000000 -5.000000 0.507793 -0.879939 5.000000
17 21743.5294059680 558.8216424862 3.705397 5.000000 -5.000000 -5.000000 0.317165
18 5.5136491789 5.5136491789 -1.548347 -0.224546 2.290153 -1.434461 1.708253
19 21722.6762208268 5.5136491789 3.667452 5.000000 -5.000000 -5.000000 0.237313
20 22549.3762964497 5.5136491789 4.567733 5.000000 -5.000000 -5.000000 0.283355
21 17089.3371461440 5.5136491789 5.000000 5.000000 -4.167379 -5.000000 1.021851
22 14866.5584445944 5.5136491789 5.000000 5.000000 -3.772896 -5.000000 0.745085
23 16016.2698661026 5.5136491789 5.000000 5.000000 -3.986513 -5.000000 0.272703
24 15257.9853981917 5.5136491789 5.000000 5.000000 -3.807486 -5.000000 -0.306176
25 20329.8036945940 5.5136491789 5.000000 5.000000 -3.669857 -5.000000 -1.297253
26 22569.5615523105 5.5136491789 5.000000 5.000000 -3.416645 -5.000000 -1.602489
27 22627.1576883316 5.5136491789 5.000000 5.000000 -3.283290 -5.000000 -1.648695
28 24251.9918603981 5.5136491789 4.865675 5.000000 -3.214093 -5.000000 -1.807131
29 23693.8649691428 5.5136491789 4.928404 5.000000 -3.160456 -5.000000 -1.772327
30 23772.4712323897 5.5136491789 4.783582 5.000000 -3.072816 -5.000000 -1.815247
31 24522.7833635659 5.5136491789 4.807499 5.000000 -3.089518 -5.000000 -1.862212
32 24472.6299495723 5.5136491789 4.736444 5.000000 -2.999105 -5.000000 -1.885132
33 25246.7150904668 5.5136491789 4.709715 5.000000 -2.957540 -5.000000 -1.948417
34 25266.6741045116 5.5136491789 4.721593 5.000000 -2.907868 -5.000000 -1.957541
35 26646.2459459425 5.5136491789 4.646531 5.000000 -2.884502 -5.000000 -2.057784
36 28194.7825198013 5.5136491789 5.000000 5.000000 -2.864608 -5.000000 -2.122910
37 24127.7573710528 5.5136491789 5.000000 5.000000 -2.456261 -5.000000 -1.912155
38 114.7900955804 5.5136491789 -0.883421 0.469092 1.636986 -0.068701 1.102897
39 12541.4729142687 5.5136491789 5.000000 5.000000 -0.563231 -5.000000 0.324092
40 35075.3233508375 5.5136491789 4.816529 5.000000 -3.621899 -5.000000 -2.379602
41 35165.9001439293 5.5136491789 5.000000 5.000000 -2.761536 -5.000000 -2.523691
42 43808.6263355196 5.5136491789 4.913283 5.000000 -3.125450 -5.000000 -2.893913
43 50133.4915592110 5.5136491789 5.000000 5.000000 -2.732627 -5.000000 -3.198392
44 3.8238610612 3.8238610612 0.217191 2.388289 0.619456 -1.747761 1.059612
45 41523.7322451661 3.8238610612 5.000000 5.000000 -1.765466 -5.000000 -2.866626
46 97118.3401015574 3.8238610612 5.000000 5.000000 0.632213 -5.000000 -4.591680
47 33627.7678498240 3.8238610612 -5.000000 -4.004136 5.000000 -5.000000 0.900625
48 48031.3601829637 3.8238610612 -5.000000 -5.000000 5.000000 4.540794 1.475351
49 121.8388199516 3.8238610612 -1.918099 -0.010760 1.705149 -0.933392 0.769465
50 92949.9185969640 3.8238610612 1.134728 5.000000 -5.000000 -5.000000 -4.271819
51 3.7881510431 3.7881510431 -0.958674 0.658357 -0.027359 -1.641499 1.110051
52 4.6755136049 3.7881510431 -0.715091 1.020120 1.273295 -1.501468 0.844318
53 53571.6695299841 3.7881510431 5.000000 5.000000 -4.232403 -3.516415 5.000000
54 3.7091487121 3.7091487121 0.284094 1.834218 0.248414 -1.730386 0.972745
55 3.9694210949 3.7091487121 -2.265195 -0.561890 1.513151 -0.987278 1.006656
56 49306.9997687205 3.7091487121 -5.000000 -5.000000 5.000000 -0.143348 -2.011028
57 54367.7776965126 3.7091487121 5.000000 5.000000 -3.652075 -4.188124 5.000000
58 18805.4358515641 3.7091487121 -5.000000 -2.970225 5.000000 -3.973220 1.145059
59 65560.3877111747 3.7091487121 4.815399 5.000000 5.000000 5.000000 5.000000
60 21202.6175212800 3.7091487121 -5.000000 -2.020917 5.000000 -2.820192 -1.236759
61 23016.1702295936 3.7091487121 -5.000000 -1.494230 5.000000 -2.690376 -1.341747
62 26459.9776133689 3.7091487121 -5.000000 -1.027526 5.000000 -2.417108 -1.535367
63 33475.6291326872 3.7091487121 -5.000000 -0.700277 5.000000 -2.089394 -1.866969
64 3.5280621669 3.5280621669 -1.012126 0.197193 1.530760 -1.384227 1.422277
65 46046.1988713289 3.5280621669 -5.000000 -0.664851 5.000000 -1.498597 -2.305566
66 167480.7620669130 3.5280621669 -5.000000 -5.000000 -4.853315 5.000000 5.000000
