evaluations raw_y raw_y_best x0 x1 x2 x3 x4
76 361.7691815124 73.0856639101 -1.500000 -1.500000 -4.500000 3.500000 0.500000
77 385.7158302564 73.0856639101 4.500000 -4.500000 -2.500000 -2.500000 -0.500000
78 231.8065125682 73.0856639101 0.500000 -3.500000 4.500000 -0.500000 -1.500000
79 564.2300996157 73.0856639101 1.500000 1.500000 0.500000 -4.500000 1.500000
80 804.4839429913 73.0856639101 -4.500000 4.500000 -1.500000 -1.500000 3.500000
81 242.7644437139 73.0856639101 -2.500000 0.500000 2.500000 4.500000 4.500000
82 437.4622934388 73.0856639101 3.500000 -0.500000 1.500000 2.500000 -4.500000
83 1334.0919858616 73.0856639101 -3.500000 -2.500000 3.500000 -3.500000 -2.500000
84 231.8102603214 73.0856639101 2.500000 3.500000 -0.500000 1.500000 2.500000
85 3036.2376614896 73.0856639101 -0.500000 2.500000 -3.500000 0.500000 -3.500000
86 171.0481726293 73.0856639101 0.483716 -3.758268 4.367733 0.122183 -1.681347
87 201.1245280735 73.0856639101 0.549611 -3.643556 3.840007 -0.170977 -1.375229
88 199.0355443378 73.0856639101 2.249429 3.058773 -0.552910 0.968465 2.799526
89 195.7628594079 73.0856639101 1.000449 -4.019718 4.231974 -0.293493 -1.649679
90 208.9502442625 73.0856639101 2.565300 3.303533 -0.990976 0.891297 2.288126
91 240.0171553407 73.0856639101 -2.179306 0.396418 3.269575 4.285054 4.644449
92 227.2494276567 73.0856639101 2.755626 3.301358 -0.198475 0.762406 2.376802
93 198.6843075436 73.0856639101 0.248490 -4.283180 4.228783 -0.333616 -1.465537
94 181.0827363014 73.0856639101 0.696871 -3.982956 4.453872 0.004066 -0.971566
95 166.2764133728 73.0856639101 3.061842 3.107242 -0.750062 1.108302 2.899093
96 219.4013324014 73.0856639101 2.686464 3.744652 -0.722213 0.800910 2.997139
97 185.6340483234 73.0856639101 2.504249 3.244276 -1.305711 1.379543 3.060346
98 196.7053902713 73.0856639101 2.694623 2.927300 -1.226216 0.535576 3.081584
99 161.6170250422 73.0856639101 2.661938 2.465276 -1.104692 1.264617 2.632664
100 137.2647176206 73.0856639101 1.218941 -3.325654 4.357481 0.291745 -1.309330
101 113.1001887367 73.0856639101 0.489920 -3.143748 4.390003 0.510334 -0.986419
102 124.5689702648 73.0856639101 0.803683 -3.692427 4.032069 0.843278 -1.150200
103 174.9371470957 73.0856639101 2.654808 2.494193 -0.840521 1.294389 3.553514
104 147.9638306836 73.0856639101 0.823720 -3.558332 4.864392 0.849408 -1.220996
105 148.0496174200 73.0856639101 0.734807 -3.038456 4.250963 0.902341 -1.660779
106 109.2678981501 73.0856639101 1.134696 -3.015418 4.315552 1.032023 -0.823242
107 93.5101409808 73.0856639101 0.936336 -2.898138 3.646436 0.610915 -0.999275
108 138.8103901747 73.0856639101 1.062505 -3.327833 3.970945 0.435207 -0.401690
109 121.0987435297 73.0856639101 0.435950 -3.056815 3.803520 1.151567 -0.644674
110 125.6220025594 73.0856639101 1.284318 -3.278711 3.455870 1.235588 -0.761049
111 84.3962176721 73.0856639101 1.104219 -2.511826 3.660552 0.999290 -0.302907
112 112.7500045246 73.0856639101 0.989919 -2.428061 3.659623 1.400952 -1.030418
113 117.5258706063 73.0856639101 0.680902 -2.227633 4.144477 0.745659 -0.730937
114 119.9653276795 73.0856639101 1.656940 -2.395961 3.848821 0.744695 -0.880998
115 108.8382966779 73.0856639101 1.348453 -2.145480 4.284937 1.453182 -0.428550
116 108.9254829396 73.0856639101 1.087068 -2.837148 3.921159 1.830485 -0.232081
117 83.0236601111 73.0856639101 1.848145 -2.570920 3.649863 1.576760 -0.456626
118 86.9320926025 73.0856639101 1.277134 -2.028907 3.384543 1.757255 -0.244195
119 74.7625420014 73.0856639101 1.622417 -2.357621 3.773621 1.477512 0.358343
120 78.3443795282 73.0856639101 1.441812 -2.766560 3.075137 1.565029 0.108190
121 78.7763888014 73.0856639101 1.831511 -2.130466 3.166404 1.080996 -0.059480
122 65.5985128546 65.5985128546 2.057941 -2.213157 3.168624 1.930932 0.199202
123 103.0209401086 65.5985128546 2.281269 -2.815287 3.329526 1.311645 0.282205
124 67.8694724423 65.5985128546 1.968802 -2.461247 2.688412 1.656130 -0.483452
125 90.7134481411 65.5985128546 1.293233 -2.432361 2.730181 1.077227 -0.695332
126 84.9984308963 65.5985128546 1.551239 -2.037409 2.443602 1.603364 0.132509
127 69.3865313160 65.5985128546 1.934654 -2.718082 2.380545 1.034216 0.030425
128 38.9926997008 38.9926997008 1.928770 -2.354077 2.767738 1.344930 0.803977
129 77.8805869986 38.9926997008 2.216782 -2.675974 2.387626 1.811810 0.422073
130 85.9504499808 38.9926997008 1.508514 -2.373331 2.989613 2.061348 0.942042
131 76.8360144954 38.9926997008 1.102851 -2.127343 3.044738 1.148615 0.729842
132 82.8044547388 38.9926997008 2.218196 -2.888647 2.893296 0.820744 -0.763780
133 61.9887970632 38.9926997008 2.609786 -2.099762 2.541525 1.262732 0.127994
134 41.6703364629 38.9926997008 1.850364 -1.562663 3.112424 1.536140 0.793206
135 91.1403919908 38.9926997008 1.155067 -1.625843 3.594200 1.852467 0.739131
136 65.5182430404 38.9926997008 2.344338 -1.776937 2.483141 1.859934 0.831755
137 102.6856363343 38.9926997008 2.010809 -1.644605 2.393396 0.936632 0.708188
138 59.6951330221 38.9926997008 2.632816 -1.954485 3.220670 1.397866 0.899960
139 85.3050962430 38.9926997008 2.204834 -2.057703 2.240313 0.861644 -0.714505
140 127.3940838342 38.9926997008 2.465382 -1.319181 3.045739 1.592105 0.126180
141 87.3082797128 38.9926997008 1.805806 -2.069967 3.481203 1.373984 1.407581
142 102.5298367421 38.9926997008 2.235569 -1.798825 3.476307 2.212109 1.067073
143 85.1176257996 38.9926997008 1.525892 -1.716434 2.563743 1.617304 1.453177
144 62.0611929693 38.9926997008 2.752852 -2.828562 2.149007 1.334585 -0.515105
145 79.8534713043 38.9926997008 2.907687 -2.344911 2.946388 1.379691 -0.742886
146 90.0242228144 38.9926997008 2.939468 -2.616349 2.540584 0.542821 -0.217920
147 81.0945966053 38.9926997008 2.465654 -2.371235 2.669514 1.640859 1.559021
148 55.8950120922 38.9926997008 2.840563 -2.674264 2.344466 1.035043 0.849609
149 33.6797290453 33.6797290453 2.607491 -2.446032 1.603058 1.090379 0.266619
150 68.9563470963 33.6797290453 2.184955 -2.411111 1.755374 1.295812 1.053688
evaluations raw_y raw_y_best x0 x1 x2 x3 x4
76 525.6119127144 146.3882165202 1.500000 -1.500000 -4.500000 2.500000 3.500000
77 1019.6539222552 146.3882165202 3.500000 2.500000 -1.500000 -0.500000 4.500000
78 696.7884604656 146.3882165202 -4.500000 -2.500000 0.500000 -2.500000 1.500000
79 347.8548847704 146.3882165202 -0.500000 1.500000 1.500000 0.500000 -3.500000
80 747.5759422811 146.3882165202 -2.500000 -4.500000 -2.500000 3.500000 -0.500000
81 1531.8705963793 146.3882165202 -1.500000 -3.500000 2.500000 -3.500000 -4.500000
82 491.8841020010 146.3882165202 4.500000 4.500000 4.500000 1.500000 2.500000
83 557.4309591517 146.3882165202 0.500000 -0.500000 -3.500000 4.500000 -2.500000
84 1890.0382271872 146.3882165202 -3.500000 0.500000 -0.500000 -4.500000 0.500000
85 895.2525378594 146.3882165202 2.500000 3.500000 3.500000 -1.500000 -1.500000
86 329.2576337274 146.3882165202 -0.427630 1.813097 1.537727 0.862069 -3.374459
87 330.1850019343 146.3882165202 -0.684134 1.409505 1.545812 1.005891 -3.518461
88 332.3304000432 146.3882165202 -0.897491 1.778804 1.316260 0.750600 -3.497565
89 354.9872897524 146.3882165202 -0.754532 1.779641 1.825964 0.751627 -3.724351
90 294.7440093752 146.3882165202 -0.854485 1.615190 1.747239 0.718019 -3.122849
91 305.6774576994 146.3882165202 -0.677320 1.444850 1.210916 0.823428 -2.887862
92 285.9581161814 146.3882165202 -0.933915 1.781212 1.471747 1.271767 -2.951485
93 301.9509534381 146.3882165202 -1.312677 1.333512 1.386065 1.018765 -2.990540
94 303.0452244000 146.3882165202 -0.811204 1.220288 1.724910 1.232925 -2.737955
95 253.0025547239 146.3882165202 -1.109114 1.646603 1.553697 0.904563 -2.411608
96 282.2441667890 146.3882165202 -1.088381 1.430281 1.135373 1.356667 -2.339934
97 274.1646179516 146.3882165202 -0.531879 1.777959 1.482907 1.200545 -2.244450
98 235.3746831382 146.3882165202 -0.960685 2.086115 1.026452 0.965306 -2.401445
99 220.6700484967 146.3882165202 -1.180547 2.159274 1.428982 1.392390 -2.174916
100 208.3302150555 146.3882165202 -1.070408 1.963403 1.196763 1.032989 -1.734584
101 232.7977440660 146.3882165202 -0.945763 2.387954 1.555644 0.816577 -2.005506
102 266.6344014039 146.3882165202 -1.591346 2.191493 1.235899 0.858351 -2.057149
103 249.9438643992 146.3882165202 -0.975673 2.573177 0.993914 1.240242 -1.821441
104 256.0784696572 146.3882165202 -0.827840 2.241759 0.907597 0.451871 -1.777354
105 251.0605112971 146.3882165202 -0.367983 2.261652 1.207454 0.997009 -1.559431
106 242.5999997947 146.3882165202 -0.608481 1.917548 0.572191 1.163886 -1.791344
107 250.3624054200 146.3882165202 -0.244885 2.475746 0.833345 0.912467 -2.213550
108 285.8651762567 146.3882165202 -0.272461 1.704300 0.950230 0.576627 -1.955115
109 263.8770593770 146.3882165202 -0.477620 2.245009 0.946925 1.751019 -2.125665
110 226.8142587178 146.3882165202 -0.905488 1.925078 1.234835 1.781827 -1.459105
111 214.9372811275 146.3882165202 -1.116480 2.166272 1.865995 1.391363 -1.460990
112 240.6858389004 146.3882165202 -1.535501 1.630410 1.667022 1.538596 -1.636069
113 209.8248574564 146.3882165202 -1.575538 2.278970 1.324740 1.541616 -1.313801
114 186.9512295474 146.3882165202 -1.197643 1.889413 1.380361 1.186871 -0.927754
115 248.8698790570 146.3882165202 -1.569995 2.146946 1.685261 0.801405 -1.177346
116 211.2149064288 146.3882165202 -0.998198 2.550374 1.354261 1.281510 -0.881200
117 267.3965419156 146.3882165202 -0.694191 2.028676 1.789079 0.805292 -0.897293
118 171.2130659564 146.3882165202 -1.308540 2.092978 1.757479 1.735881 -0.694347
119 163.2205237282 146.3882165202 -1.260130 2.074244 1.059218 1.826264 -0.569164
120 171.9479246942 146.3882165202 -0.698146 1.966688 1.415570 1.746123 -0.531607
121 184.1695717385 146.3882165202 -1.195507 2.102708 1.409155 1.416855 -0.124785
122 150.9861772418 146.3882165202 -1.028292 2.542838 1.440213 2.025323 -0.334830
123 155.0192235609 146.3882165202 -1.164739 1.933830 1.502318 2.221563 -0.112591
124 196.4207946799 146.3882165202 -1.052470 2.168138 1.462299 2.455114 -0.739404
125 161.5061929341 146.3882165202 -0.806118 2.237303 2.030470 2.008540 -0.122642
126 137.7124848234 137.7124848234 -0.604470 2.245081 1.352374 2.071374 0.190461
127 80.8953887750 80.8953887750 -1.132437 2.466984 1.650068 2.039840 0.443093
128 81.6023482329 80.8953887750 -0.948850 2.555970 1.688386 2.594197 0.328388
129 129.1733207516 80.8953887750 -1.207125 2.543959 1.168249 2.413033 0.414003
130 120.0389724019 80.8953887750 -0.952635 2.137302 1.681295 2.433407 0.737821
131 98.3053338805 80.8953887750 -1.518685 2.432586 1.889319 2.482307 0.350949
132 85.2137274616 80.8953887750 -1.193951 2.848847 1.846108 2.414356 0.792910
133 70.9262432259 70.9262432259 -1.021881 2.563110 2.259831 2.325015 0.546561
134 121.7159241871 70.9262432259 -1.206909 2.993391 2.027771 2.247534 0.215284
135 110.1207090311 70.9262432259 -0.573665 2.779862 1.870033 2.170444 0.659692
136 117.5569161782 70.9262432259 -1.387403 2.552181 2.195242 1.878112 0.874359
137 98.9713665198 70.9262432259 -1.396960 2.413360 2.337275 2.693967 1.012968
138 75.6501091958 70.9262432259 -0.927909 2.741978 2.229021 3.006531 0.675392
139 105.6240751458 70.9262432259 -1.447448 2.921001 2.499816 2.766047 0.588255
140 92.9901063050 70.9262432259 -1.178090 2.271686 2.399390 2.972441 0.343262
141 77.5992294907 70.9262432259 -0.831250 2.528537 2.823502 2.755893 0.810403
142 97.9796637207 70.9262432259 -0.879198 2.934490 2.488147 2.476659 1.133766
143 98.2114032470 70.9262432259 -0.560759 2.313525 2.308621 2.725085 0.931556
144 95.4561225765 70.9262432259 -0.516575 2.761352 2.528070 2.741970 0.290844
145 108.4748915239 70.9262432259 -0.463454 2.559325 2.793336 2.080306 0.772584
146 97.6943641386 70.9262432259 -1.045551 1.951056 2.761302 2.294512 0.712811
147 146.4030789038 70.9262432259 -0.492747 2.026423 2.763562 2.631901 0.327110
148 97.9628078483 70.9262432259 -1.193202 2.597071 3.045468 2.255265 0.421204
149 102.8595522968 70.9262432259 -1.180752 2.480296 3.016771 2.147422 1.185611
150 141.6878426524 70.9262432259 -1.075987 2.270276 2.937089 1.509161 0.659522
evaluations raw_y raw_y_best x0 x1 x2 x3 x4
76 427.0254361023 91.0104247224 0.500000 3.500000 -3.500000 2.500000 -3.500000
77 430.8215134208 91.0104247224 4.500000 2.500000 -0.500000 0.500000 -2.500000
78 445.7015566539 91.0104247224 -4.500000 1.500000 -4.500000 -3.500000 -1.500000
79 91.0104247224 91.0104247224 -1.500000 -4.500000 0.500000 -1.500000 -4.500000
80 176.2122790924 91.0104247224 2.500000 0.500000 -2.500000 -2.500000 4.500000
81 336.6174610943 91.0104247224 -2.500000 -0.500000 3.500000 -0.500000 2.500000
82 686.4183715394 91.0104247224 3.500000 -2.500000 -1.500000 4.500000 0.500000
83 780.4732807264 91.0104247224 1.500000 4.500000 2.500000 3.500000 -0.500000
84 423.2760265126 91.0104247224 -3.500000 -1.500000 4.500000 -4.500000 3.500000
85 376.4053353876 91.0104247224 -0.500000 -3.500000 1.500000 1.500000 1.500000
86 101.2795689316 91.0104247224 -1.257878 -4.574341 0.516328 -1.382314 -4.740754
87 118.7975864169 91.0104247224 -1.120304 -4.407104 0.435566 -1.531738 -4.396453
88 157.3425043492 91.0104247224 -1.426448 -4.244904 0.315722 -1.215716 -4.602318
89 137.7133200147 91.0104247224 -1.328877 -4.729699 0.681452 -1.235947 -4.335067
90 183.8168592939 91.0104247224 2.023392 0.404117 -1.977801 -2.398540 4.195566
91 168.7521565527 91.0104247224 -1.350575 -4.346482 0.906128 -1.599860 -4.629470
92 144.2303994722 91.0104247224 -1.371309 -4.874435 0.247407 -1.685357 -4.567632
93 106.0614448686 91.0104247224 -1.852311 -4.819015 0.572412 -1.349448 -4.863111
94 116.2982157348 91.0104247224 -2.130846 -4.730770 0.487732 -1.542919 -4.344122
95 207.4402108563 91.0104247224 2.387145 1.039148 -1.843745 -2.771325 4.657661
96 120.2722642134 91.0104247224 -1.969657 -4.483946 0.358225 -1.803908 -4.849016
