evaluations raw_y raw_y_best x0 x1 x2 x3 x4
76 5074.0137439106 3.7904467102 -0.500000 4.500000 1.500000 -0.500000 3.500000
77 47384.8691368804 3.7904467102 3.500000 -0.500000 0.500000 3.500000 0.500000
78 61075.5154228207 3.7904467102 1.500000 -4.500000 -0.500000 2.500000 -0.500000
79 41772.6889304170 3.7904467102 2.500000 -2.500000 -2.500000 1.500000 4.500000
80 15868.6116099899 3.7904467102 -3.500000 2.500000 -3.500000 -4.500000 2.500000
81 5583.5085498119 3.7904467102 -4.500000 0.500000 4.500000 0.500000 1.500000
82 59502.4981708164 3.7904467102 0.500000 -3.500000 -4.500000 -2.500000 -1.500000
83 45724.8309594353 3.7904467102 4.500000 3.500000 -1.500000 -1.500000 -2.500000
84 231824.6304924701 3.7904467102 -2.500000 -1.500000 2.500000 4.500000 -4.500000
85 64677.9779875667 3.7904467102 -1.500000 1.500000 3.500000 -3.500000 -3.500000
86 37712.9744673745 3.7904467102 2.468400 -1.723161 -1.960680 2.231744 4.089938
87 4683.5683806724 3.7904467102 -0.195203 4.343475 1.792869 -0.125702 3.608179
88 5308.9563791681 3.7904467102 -4.063882 0.798251 4.453165 0.689807 1.210839
89 3499.8743658169 3.7904467102 -4.365433 0.710806 3.923870 0.532763 1.332414
90 2127.4177830511 3.7904467102 -0.534028 4.332133 1.837661 -0.187455 3.036930
91 2868.8004232061 3.7904467102 -0.605603 3.883524 1.548949 -0.197106 3.408088
92 4779.1742501622 3.7904467102 -0.897233 4.378336 1.823195 -0.012723 3.568878
93 4349.8141560659 3.7904467102 -0.616692 4.096750 2.102953 -0.552456 3.484588
94 3603.4759405925 3.7904467102 -3.919684 0.660364 4.171701 0.426551 1.837937
95 5301.8194137282 3.7904467102 -4.349317 1.203742 4.314775 0.309720 1.649321
96 5377.7652900152 3.7904467102 -4.340834 0.894114 4.190838 1.003567 1.817549
97 3168.4456279224 3.7904467102 -3.786824 1.259805 3.808689 0.714196 1.537050
98 2972.1727909777 3.7904467102 -3.738804 0.991525 3.969902 0.004109 1.222654
99 2008.1761967474 3.7904467102 -4.070009 1.070032 3.482147 0.095576 1.802162
100 1270.1709434839 3.7904467102 -3.616253 0.606799 3.402868 0.417486 1.445217
101 1938.0767527036 3.7904467102 -4.044418 0.332776 3.650205 -0.203761 1.522972
102 1433.4234552678 3.7904467102 -3.365155 0.732268 3.615458 -0.181149 1.863934
103 2068.0328480030 3.7904467102 -3.342695 0.174105 3.995262 0.066168 1.344260
104 1061.7954984830 3.7904467102 -3.611760 0.038309 3.512392 0.208762 2.049830
105 421.9489956719 3.7904467102 -3.323278 0.085313 3.173743 -0.242029 1.492158
106 1382.2879738333 3.7904467102 -3.396520 -0.095205 3.791278 -0.568115 1.915829
107 761.8936700647 3.7904467102 -3.636740 0.875056 3.072454 -0.436117 1.220152
108 1367.8435276005 3.7904467102 -3.340352 0.432811 3.669690 -0.791436 1.209268
109 787.1413418665 3.7904467102 -2.662422 0.064108 3.618414 -0.083610 1.865010
110 688.1861737368 3.7904467102 -2.802179 0.695862 3.394911 -0.155177 1.143994
111 284.0590855790 3.7904467102 -2.796963 0.491252 3.169664 -0.783606 1.749208
112 95.3244527909 3.7904467102 -2.908010 0.669342 2.814694 0.044472 1.861573
113 509.3454425681 3.7904467102 -3.600216 0.457572 2.869805 -0.519833 2.159502
114 318.5567414127 3.7904467102 -3.147028 1.302333 2.867254 -0.550505 1.817349
115 151.8182080169 3.7904467102 -3.107568 0.661200 2.389495 -0.616265 1.460422
116 542.3346929276 3.7904467102 -3.544363 0.778970 2.943140 -1.237894 1.674620
117 1732.8133938705 3.7904467102 -2.735612 0.629607 3.641589 0.725390 1.755701
118 266.0738135429 3.7904467102 -2.903555 1.101048 2.971192 -1.028789 1.064921
119 186.3092908165 3.7904467102 -3.171389 0.210765 2.823162 -1.147931 0.993970
120 644.6139512474 3.7904467102 -3.009707 1.461685 3.055971 0.313287 1.373342
121 955.1365774298 3.7904467102 -2.348450 1.230573 3.412531 -0.057740 1.832640
122 14.1408152528 3.7904467102 -2.361822 1.171867 2.642640 -0.275087 1.285443
123 692.5865111045 3.7904467102 -3.804490 -0.150317 2.968694 -1.083179 1.628694
124 1406.1860671271 3.7904467102 -2.757348 1.702243 3.469011 -0.452429 1.182326
125 3055.1686111355 3.7904467102 -2.666104 1.363582 4.059015 0.392837 1.233361
126 458.6947759041 3.7904467102 -3.116981 1.503218 2.493469 -0.343428 0.815356
127 1302.4128578689 3.7904467102 -2.840977 0.626248 2.574189 -0.366813 0.523532
128 699.4988948227 3.7904467102 -3.669884 0.856662 2.334831 -1.047886 0.719025
129 2402.2503298000 3.7904467102 -2.448947 1.404569 3.115533 0.119544 0.511363
130 1115.8846167693 3.7904467102 -2.467731 0.680309 2.762042 0.623385 1.090025
131 4.1679922867 3.7904467102 -2.178629 0.099772 2.753677 -0.216701 1.310228
132 617.4091927502 3.7904467102 -1.805545 0.638220 3.388153 0.206549 1.252894
133 1357.4449468536 3.7904467102 -1.988413 1.484801 3.126594 0.699688 1.383251
134 662.0434507243 3.7904467102 -2.456893 -0.228575 3.338353 0.492680 1.101598
135 392.1331300101 3.7904467102 -2.484600 -0.310944 3.474640 -0.592101 0.963684
136 2412.9904206037 3.7904467102 -2.174863 0.109352 4.176445 0.005492 1.015371
137 46.3263977431 3.7904467102 -2.823416 -0.540108 2.811385 -0.743099 1.759883
138 260.4810731251 3.7904467102 -2.945734 -0.492412 2.560795 -0.276582 0.896656
139 239.4660976062 3.7904467102 -3.032580 -0.929563 3.395248 -0.101150 1.422499
140 272.0136296874 3.7904467102 -2.811565 -0.458192 2.660082 0.294025 1.805799
141 588.6638140947 3.7904467102 -3.708882 -0.696140 2.594515 -0.214102 1.745725
142 779.7428016835 3.7904467102 -3.892648 0.043999 2.253174 -0.456093 1.085393
143 1324.7425538180 3.7904467102 -3.547317 -0.436100 2.864319 0.570023 1.083641
144 872.4800036196 3.7904467102 -3.719783 -0.592561 3.193739 -0.554443 0.798902
145 839.1594613528 3.7904467102 -3.244277 0.224410 2.076228 0.351681 1.298921
146 1410.5701350394 3.7904467102 -4.102248 0.239164 2.490103 0.343575 1.851776
147 790.9467883785 3.7904467102 -3.882648 1.151537 2.134945 -0.053131 1.436994
148 247.1967459289 3.7904467102 -3.278817 -0.097331 1.935744 -0.382834 2.058031
149 2870.2259124880 3.7904467102 -3.799798 0.737470 2.550632 0.320539 0.569292
150 257.0662598646 3.7904467102 -3.295073 -0.426819 1.991935 -1.141120 1.370598
evaluations raw_y raw_y_best x0 x1 x2 x3 x4
76 51105.1415601685 3.5280621669 -0.500000 0.500000 4.500000 3.500000 -0.500000
77 18650.9218536763 3.5280621669 -4.500000 -0.500000 2.500000 -2.500000 -1.500000
78 17996.1912562214 3.5280621669 1.500000 3.500000 0.500000 -1.500000 4.500000
79 9655.8013874543 3.5280621669 -2.500000 -4.500000 1.500000 0.500000 3.500000
80 558.8216424862 3.5280621669 0.500000 -1.500000 3.500000 -0.500000 1.500000
81 198486.1901424864 3.5280621669 3.500000 2.500000 -0.500000 4.500000 -3.500000
82 30251.0868486205 3.5280621669 4.500000 4.500000 -3.500000 1.500000 2.500000
83 99543.4574003543 3.5280621669 -1.500000 -2.500000 -1.500000 -3.500000 -4.500000
84 56954.6631188438 3.5280621669 -3.500000 -3.500000 -2.500000 2.500000 0.500000
